date,sse_composite
2015-11-23,3610.31494140625
2015-11-24,3616.113037109375
2015-11-25,3647.929931640625
2015-11-26,3635.552001953125
2015-11-27,3436.302978515625
2015-11-30,3445.405029296875
2015-12-01,3456.30908203125
2015-12-02,3536.905029296875
2015-12-03,3584.823974609375
2015-12-04,3524.991943359375
2015-12-07,3536.927001953125
2015-12-08,3470.070068359375
2015-12-09,3472.43896484375
2015-12-10,3455.4951171875
2015-12-11,3434.5810546875
2015-12-14,3520.66796875
2015-12-15,3510.35400390625
2015-12-16,3516.18701171875
2015-12-17,3579.9990234375
2015-12-18,3578.964111328125
2015-12-21,3642.471923828125
2015-12-22,3651.76708984375
2015-12-23,3636.089111328125
2015-12-24,3612.485107421875
2015-12-25,3628.0009765625
2015-12-28,3533.779052734375
2015-12-29,3563.736083984375
2015-12-30,3572.8759765625
2015-12-31,3539.181884765625
2016-01-04,3296.258056640625
2016-01-05,3287.7109375
2016-01-06,3361.840087890625
2016-01-07,3125.001953125
2016-01-08,3186.412109375
2016-01-11,3016.7041015625
2016-01-12,3022.861083984375
2016-01-13,2949.596923828125
2016-01-14,3007.64892578125
2016-01-15,2900.969970703125
2016-01-18,2913.8369140625
2016-01-19,3007.739013671875
2016-01-20,2976.694091796875
2016-01-21,2880.48193359375
2016-01-22,2916.56201171875
2016-01-25,2938.514892578125
2016-01-26,2749.784912109375
2016-01-27,2735.55810546875
2016-01-28,2655.660888671875
2016-01-29,2737.60009765625
2016-02-01,2688.85400390625
2016-02-02,2749.570068359375
2016-02-03,2739.2470703125
2016-02-04,2781.02294921875
2016-02-05,2763.491943359375
2016-02-15,2746.196044921875
2016-02-16,2836.571044921875
2016-02-17,2867.337890625
2016-02-18,2862.89306640625
2016-02-19,2860.02099609375
2016-02-22,2927.175048828125
2016-02-23,2903.3310546875
2016-02-24,2928.89599609375
2016-02-25,2741.2451171875
2016-02-26,2767.2099609375
2016-02-29,2687.97900390625
2016-03-01,2733.169921875
2016-03-02,2849.680908203125
2016-03-03,2859.758056640625
2016-03-04,2874.14697265625
2016-03-07,2897.340087890625
2016-03-08,2901.386962890625
2016-03-09,2862.555908203125
2016-03-10,2804.72607421875
2016-03-11,2810.306884765625
2016-03-14,2859.4990234375
2016-03-15,2864.367919921875
2016-03-16,2870.429931640625
2016-03-17,2904.83203125
2016-03-18,2955.14990234375
2016-03-21,3018.802001953125
2016-03-22,2999.363037109375
2016-03-23,3009.9599609375
2016-03-24,2960.969970703125
2016-03-25,2979.1259765625
2016-03-28,2957.820068359375
2016-03-29,2919.83203125
2016-03-30,3000.64501953125
2016-03-31,3003.9150390625
2016-04-01,3009.530029296875
2016-04-05,3053.06494140625
2016-04-06,3050.592041015625
2016-04-07,3008.419921875
2016-04-08,2984.9580078125
2016-04-11,3033.95703125
2016-04-12,3023.64599609375
2016-04-13,3066.637939453125
2016-04-14,3082.362060546875
2016-04-15,3078.116943359375
2016-04-18,3033.659912109375
2016-04-19,3042.822998046875
2016-04-20,2972.583984375
2016-04-21,2952.89111328125
2016-04-22,2959.239990234375
2016-04-25,2946.669921875
2016-04-26,2964.699951171875
2016-04-27,2953.6708984375
2016-04-28,2945.589111328125
2016-04-29,2938.323974609375
2016-05-03,2992.64306640625
2016-05-04,2991.27197265625
2016-05-05,2997.842041015625
2016-05-06,2913.248046875
2016-05-09,2832.113037109375
